Bild,Gipfel,Höhe (m ü. M.),Lage,Gebirge / Massiv,Dominanz (km),Schartenhöhe (m)
,Dufourspitze,4634,Wallis,Monte Rosa,"000000000000078.200000000078,2  Mont Blanc de Courmayeur",000000000002165.00000000002.165  Grosser Sankt Bernhard
,Dom,4545,Wallis,Mischabelgruppe,"000000000000016.600000000016,6  Nordend",000000000001046.00000000001.046  Neues Weisstor
,Liskamm,4527,Wallis / Italien,Walliser Alpen,"000000000000002.90000000002,9  Zumsteinspitze",000000000000376.0000000000376  Lisjoch
,Weisshorn,4505,Wallis,Walliser Alpen,"000000000000011.100000000011,1  Dom",000000000001235.00000000001.235  Furggjoch
,Matterhorn,4478,Wallis / Italien,Walliser Alpen,"000000000000013.700000000013,7  Liskamm",000000000001031.00000000001.031  Col Durand
,Dent Blanche,4357,Wallis,Walliser Alpen,"000000000000007.40000000007,4  Matterhorn",000000000000895.0000000000895  Col d'Hérens
,Grand Combin,4314,Wallis,Walliser Alpen,"000000000000026.400000000026,4  Dent Blanche",000000000001517.00000000001.517  Fenêtre de Durand
,Finsteraarhorn,4274,Bern / Wallis,Berner Alpen,"000000000000051.650000000051,65  Nadelhorn",000000000002280.00000000002.280
,Zinalrothorn,4221,Wallis,Walliser Alpen,"000000000000004.50000000004,5  Weisshorn",000000000000490.0000000000490  Hohlichtpass
,Alphubel,4206,Wallis,Allalingruppe,"000000000000002.30000000002,3  Täschhorn",000000000000355.0000000000355  Mischabeljoch
